state_name,year,value
Georgia,1990,0.2973302166057614
Hawaii,1990,0.8341280103981639
Idaho,1990,-0.07277231556526331
Illinois,1990,0.22428119279477698
Indiana,1990,0.9174730348624358
Iowa,1990,0.7876035427257086
Kansas,1990,0.6937301512769771
Kentucky,1990,0.08361898345684438
Louisiana,1990,0.575465984797443
Maine,1990,0.8091444378661983
Maryland,1990,0.06135587176503776
Massachusetts,1990,0.8117126009704059
Michigan,1990,0.6314621535362619
Minnesota,1990,-0.021334190773671935
Mississippi,1990,0.40532094808402874
Missouri,1990,0.4164970431918569
Montana,1990,-0.07281452748912898
Nebraska,1990,0.711600963599615
Nevada,1990,-0.4073073175047064
New-Hampshire,1990,0.9345926205690382
New-Jersey,1990,-0.24021109364473858
New-Mexico,1990,0.20435823993358326
New-York,1990,0.70165500956114
